# Part,Package,Qty,Unit Price,Total,Notes
STM32L476RG,LQFP-64,1,$5.80,$5.80,Ultra-low-power Cortex-M4
SX1261,QFN-24,1,$3.80,$3.80,Sub-GHz radio
FSR-402 (Interlink),Force sensor,8,$2.50,$20.00,Pressure sensors
HX711,SOP-16,8,$0.80,$6.40,24-bit ADC amplifiers
CD74HC4067,TSSOP-24,1,$0.60,$0.60,16:1 multiplexer
DS18B20,TO-92,1,$1.20,$1.20,Temperature sensor
MCP73831,SOT-23-5,1,$0.40,$0.40,Battery charger
AP2112-3.3,SOT-223,2,$0.30,$0.60,Voltage regulators
Lipo 2000mAh,Custom flat,1,$4.00,$4.00,Battery
USB-C receptacle,16-pin SMD,1,$0.35,$0.35,Charging port
868MHz wire antenna,Wire,1,$0.30,$0.30,Radio antenna
RGB LED,0505 SMD,1,$0.10,$0.10,Status indicator
Tactile button,6mm SMD,1,$0.05,$0.05,Setup button
Passives,0402,~50,$1.25,$1.25,Decoupling etc.
Flexible PCB (800×60mm),2-layer FPC,1,$5.00,$5.00,Sensor strip
Rigid PCB section (50×60mm),4-layer,1,$2.50,$2.50,MCU + radio section
Closed-cell foam cover,800×60×1mm,1,$0.50,$0.50,Comfort layer
