# Part,Package,Qty,Unit Price,Total,Notes
nRF52833,QFN-48 7x7,1,$2.80,$2.80,BLE 5.0 Cortex-M4 MCU
BGT60TR13C,LGA-32,1,$5.50,$5.50,60GHz mmWave radar
BME688,LGA-8,1,$3.20,$3.20,Environment sensor
TSL25911,DFN-6,1,$1.80,$1.80,Ambient light sensor
SX1261,QFN-24,1,$3.80,$3.80,Sub-GHz radio
AP2112-3.3,SOT-223,1,$0.30,$0.30,3.3V LDO
3× AA battery holder,SMD clip,1,$0.50,$0.50,Battery backup
USB-C receptacle,16-pin SMD,1,$0.35,$0.35,Power input
60GHz patch antenna,Custom PCB,1,$0.50,$0.50,Radar antenna
868MHz chip antenna,Ceramic,1,$0.80,$0.80,Sub-GHz antenna
RGB LED,0505 SMD,1,$0.10,$0.10,Status indicator
Tactile button,6mm SMD,1,$0.05,$0.05,Setup/pairing
Passives,0402,~40,$1.00,$1.00,Decoupling etc.
PCB 4-layer,55×55mm,1,$2.50,$2.50,Room monitor PCB
Enclosure (ABS),60×60×18mm,1,$1.50,$1.50,Wall mount case
Magnetic mount,3M adhesive + magnet,1,$0.80,$0.80,Mounting
